city,vegan_restaurant,link
London,3872,https://www.tripadvisor.co.uk/Restaurants-g186338-London_England.html
Birmingham_West_Midlands,394,https://www.tripadvisor.co.uk/Restaurants-g186402-Birmingham_West_Midlands_England.html
Manchester_Greater_Manchester,390,https://www.tripadvisor.co.uk/Restaurants-g187069-Manchester_Greater_Manchester_England.html
Edinburgh,589,https://www.tripadvisor.co.uk/Restaurants-g186525-Edinburgh_Scotland.html
Glasgow,457,https://www.tripadvisor.co.uk/Restaurants-g186534-Glasgow_Scotland.html
Leeds_West_Yorkshire,411,https://www.tripadvisor.co.uk/Restaurants-g186411-Leeds_West_Yorkshire_England.html
Liverpool_Merseyside,335,https://www.tripadvisor.co.uk/Restaurants-g186337-Liverpool_Merseyside_England.html
Bristol,328,https://www.tripadvisor.co.uk/Restaurants-g186220-Bristol_England.html
Sheffield_South_Yorkshire,296,https://www.tripadvisor.co.uk/Restaurants-g186364-Sheffield_South_Yorkshire_England.html
Nottingham_Nottinghamshire,212,https://www.tripadvisor.co.uk/Restaurants-g186356-Nottingham_Nottinghamshire_England.html
Leicester_Leicestershire,211,https://www.tripadvisor.co.uk/Restaurants-g186334-Leicester_Leicestershire_England.html
Newcastle_upon_Tyne_Tyne_and_Wear,235,https://www.tripadvisor.co.uk/Restaurants-g186394-Newcastle_upon_Tyne_Tyne_and_Wear_England.html
Cardiff,230,https://www.tripadvisor.co.uk/Restaurants-g186460-Cardiff_South_Wales_Wales.html
Brighton_East_Sussex,266,https://www.tripadvisor.co.uk/Restaurants-g186273-Brighton_East_Sussex_England.html
Belfast,197,https://www.tripadvisor.co.uk/Restaurants-g186470-Belfast_Northern_Ireland.html
York_North_Yorkshire,202,https://www.tripadvisor.co.uk/Restaurants-g186346-York_North_Yorkshire_England.html
Southampton_Hampshire,133,https://www.tripadvisor.co.uk/Restaurants-g186299-Southampton_Hampshire_England.html
Bournemouth_Dorset,159,https://www.tripadvisor.co.uk/Restaurants-g186262-Bournemouth_Dorset_England.html
Bradford_West_Yorkshire,86,https://www.tripadvisor.co.uk/Restaurants-g186408-Bradford_West_Yorkshire_England.html
Norwich_Norfolk_East_Anglia,153,https://www.tripadvisor.co.uk/Restaurants-g186342-Norwich_Norfolk_East_Anglia_England.html
